1788016868.118919732	fa:c8:d3:66:df:ac	01:00:5e:00:00:fb	119	273
1788016868.119216833	fa:c8:d3:66:df:ac	33:33:00:00:00:fb	139	274
1788016868.119384543	f8:3d:c6:d0:66:d0	ff:ff:ff:ff:ff:ff	110	275
1788016868.119795615	f8:3d:c6:d0:66:d0	ff:ff:ff:ff:ff:ff	110	276
1788016868.119795895	90:10:57:c5:0f:bc	ff:ff:ff:ff:ff:ff	60	277
1788016868.120213469	f8:3d:c6:d0:66:d0	ff:ff:ff:ff:ff:ff	110	278
1788016868.120213810	1a:12:c8:d0:94:05	01:00:5e:00:00:fc	82	279
1788016868.221117028	0c:ef:15:44:d3:27	ff:ff:ff:ff:ff:ff	565	280
1788016868.221888438	bc:29:78:87:0d:40	ff:ff:ff:ff:ff:ff	60	281
1788016868.221873189	c0:74:ad:dc:20:14	ff:ff:ff:ff:ff:ff	564	282
1788016868.222175389	98:bd:80:d3:aa:68	01:00:5e:7f:ff:fa	167	283
1788016868.323789054	ee:0a:b7:b0:63:f2	01:00:5e:7f:ff:fa	167	284
1788016868.323940103	14:d1:69:db:63:ba	33:33:00:00:00:02	70	285
1788016868.325231847	7e:b4:44:82:1b:ad	01:00:5e:00:00:fb	482	286
1788016868.325630656	7e:b4:44:82:1b:ad	33:33:00:00:00:fb	502	287
1788016868.325642157	f8:3d:c6:d0:66:d0	ff:ff:ff:ff:ff:ff	60	288
1788016868.326304254	a2:ab:e9:cd:24:3f	ff:ff:ff:ff:ff:ff	332	289
1788016868.327058591	ec:74:d7:26:7f:34	ff:ff:ff:ff:ff:ff	564	290
1788016868.328006097	c0:74:ad:dc:2d:dc	ff:ff:ff:ff:ff:ff	564	291
1788016868.329394800	a0:85:27:fb:cf:b1	ff:ff:ff:ff:ff:ff	110	292
1788016868.329394139	c0:74:ad:dc:2d:dc	ff:ff:ff:ff:ff:ff	564	293
1788016868.329394980	a0:85:27:fb:cf:b1	ff:ff:ff:ff:ff:ff	110	294
1788016868.329472113	a0:85:27:fb:cf:b1	ff:ff:ff:ff:ff:ff	110	295
1788016868.335340998	00:01:21:48:26:89	20:58:43:71:e2:64	650	296
1788016868.335646794	20:58:43:71:e2:64	00:01:21:48:26:89	81	297
1788016868.424559626	7e:b4:44:82:1b:ad	01:00:5e:00:00:fb	107	298
1788016868.424820660	7e:b4:44:82:1b:ad	33:33:00:00:00:fb	127	299
1788016868.424963815	56:af:0f:c2:fc:b1	ff:ff:ff:ff:ff:ff	60	300
1788016868.425409010	8a:03:3d:66:f7:cd	33:33:00:00:00:fb	123	301
1788016868.425458361	8a:03:3d:66:f7:cd	01:00:5e:00:00:fb	103	302
1788016868.426488620	c0:74:ad:dc:1f:98	ff:ff:ff:ff:ff:ff	564	303
1788016868.427334938	ec:74:d7:26:7e:d0	ff:ff:ff:ff:ff:ff	564	304
1788016868.527348809	a0:85:27:fb:cf:b1	ff:ff:ff:ff:ff:ff	60	305
1788016868.527355651	f8:3d:c6:d0:66:d0	33:33:00:01:00:03	85	306
1788016868.527355832	f8:3d:c6:d0:66:d0	01:00:5e:00:00:fc	65	307
1788016868.527491603	5a:34:92:f7:d6:63	01:00:5e:00:00:fb	119	308
1788016868.527889290	5a:34:92:f7:d6:63	33:33:00:00:00:fb	139	309
1788016868.528060237	ee:0a:b7:b0:63:f2	01:00:5e:00:00:fb	103	310
1788016868.528381452	ee:0a:b7:b0:63:f2	33:33:00:00:00:fb	123	311
1788016868.528552950	56:af:0f:c2:fc:b1	ff:ff:ff:ff:ff:ff	60	312
1788016868.528820495	f8:3d:c6:d0:66:d0	33:33:00:00:00:16	130	313
1788016868.529667966	ec:74:d7:26:69:c4	ff:ff:ff:ff:ff:ff	564	314
1788016868.629973777	1a:12:c8:d0:94:05	01:00:5e:00:00:fb	83	315
1788016868.630302997	92:34:4c:2b:ac:49	01:00:5e:00:00:fb	119	316
1788016868.630312575	9c:4e:36:2f:f0:b8	01:00:5e:00:00:fb	82	317
1788016868.630547380	92:34:4c:2b:ac:49	33:33:00:00:00:fb	139	318
1788016868.631248218	a2:ab:e9:cd:24:3f	ff:ff:ff:ff:ff:ff	332	319
1788016868.631256944	fa:1c:79:a0:42:bd	01:00:5e:00:00:fb	79	320
1788016868.631494114	fa:1c:79:a0:42:bd	33:33:00:00:00:fb	99	321
1788016868.632558806	fa:1c:79:a0:42:bd	33:33:00:00:00:16	90	322
1788016868.632545872	c0:74:ad:dc:22:98	ff:ff:ff:ff:ff:ff	564	323
1788016868.732009644	2a:b5:c4:f2:4c:86	01:00:5e:00:00:fb	103	324
